净值日期,累计净值
2014-11-27,1.0
2014-11-28,1.0
2014-12-05,1.0
2014-12-11,1.001
2014-12-12,1.001
2014-12-15,1.001
2014-12-16,1.006
2014-12-17,1.025
2014-12-18,1.009
2014-12-19,1.011
2014-12-22,0.997
2014-12-23,1.002
2014-12-24,0.967
2014-12-25,0.996
2014-12-26,1.045
2014-12-29,1.089
2014-12-30,1.094
2014-12-31,1.171
2015-01-05,1.204
2015-01-06,1.168
2015-01-07,1.169
2015-01-08,1.145
2015-01-09,1.134
2015-01-12,1.117
2015-01-13,1.115
2015-01-14,1.122
2015-01-15,1.165
2015-01-16,1.172
2015-01-19,1.083
2015-01-20,1.122
2015-01-21,1.179
2015-01-22,1.193
2015-01-23,1.192
2015-01-26,1.199
2015-01-27,1.166
2015-01-28,1.143
2015-01-29,1.133
2015-01-30,1.138
2015-02-02,1.117
2015-02-03,1.124
2015-02-04,1.112
2015-02-05,1.099
2015-02-06,1.065
2015-02-09,1.058
2015-02-10,1.078
2015-02-11,1.082
2015-02-12,1.081
2015-02-13,1.111
2015-02-16,1.105
2015-02-17,1.126
2015-02-25,1.101
2015-02-26,1.128
2015-02-27,1.12
2015-03-02,1.129
2015-03-03,1.087
2015-03-04,1.087
2015-03-05,1.067
2015-03-06,1.064
2015-03-09,1.081
2015-03-10,1.071
2015-03-11,1.071
2015-03-12,1.09
2015-03-13,1.086
2015-03-16,1.122
2015-03-17,1.137
2015-03-18,1.175
2015-03-19,1.162
2015-03-20,1.196
2015-03-23,1.218
2015-03-24,1.212
2015-03-25,1.196
2015-03-26,1.196
2015-03-27,1.242
2015-03-30,1.323
2015-03-31,1.294
2015-04-01,1.305
2015-04-02,1.3
2015-04-03,1.311
2015-04-07,1.332
2015-04-08,1.328
2015-04-09,1.388
2015-04-10,1.377
2015-04-13,1.398
2015-04-14,1.382
2015-04-15,1.339
2015-04-16,1.374
2015-04-17,1.394
2015-04-20,1.355
2015-04-21,1.383
2015-04-22,1.413
2015-04-23,1.423
2015-04-24,1.399
2015-04-27,1.414
2015-04-28,1.406
2015-04-29,1.424
2015-04-30,1.468
2015-05-04,1.47
2015-05-05,1.381
2015-05-06,1.353
2015-05-07,1.358
2015-05-08,1.376
2015-05-11,1.407
2015-05-12,1.413
2015-05-13,1.448
2015-05-14,1.419
2015-05-15,1.4
2015-05-18,1.38
2015-05-19,1.404
2015-05-20,1.404
2015-05-21,1.421
2015-05-22,1.457
2015-05-25,1.493
2015-05-26,1.53
2015-05-27,1.525
2015-05-28,1.456
2015-05-29,1.457
2015-06-01,1.498
2015-06-02,1.52
2015-06-03,1.538
2015-06-04,1.531
2015-06-05,1.56
2015-06-08,1.59
2015-06-09,1.568
2015-06-10,1.587
2015-06-11,1.594
2015-06-12,1.599
2015-06-15,1.616
2015-06-16,1.595
2015-06-17,1.585
2015-06-18,1.572
2015-06-19,1.496
2015-06-23,1.514
2015-06-24,1.537
2015-06-25,1.524
2015-06-26,1.436
2015-06-29,1.426
2015-06-30,1.475
2015-07-01,1.421
2015-07-02,1.365
2015-07-03,1.302
2015-07-06,1.323
2015-07-07,1.294
2015-07-08,1.233
2015-07-09,1.288
2015-07-10,1.336
2015-07-13,1.366
2015-07-14,1.364
2015-07-15,1.321
2015-07-16,1.325
2015-07-17,1.366
2015-07-20,1.376
2015-07-21,1.365
2015-07-22,1.363
2015-07-23,1.384
2015-07-24,1.383
2015-07-27,1.312
2015-07-28,1.328
2015-07-29,1.359
2015-07-30,1.325
2015-07-31,1.34
2015-08-03,1.371
2015-08-04,1.389
2015-08-05,1.358
2015-08-06,1.334
2015-08-07,1.355
2015-08-10,1.391
2015-08-11,1.39
2015-08-12,1.373
2015-08-13,1.396
2015-08-14,1.41
2015-08-17,1.424
2015-08-18,1.348
2015-08-19,1.363
2015-08-20,1.334
2015-08-21,1.291
2015-08-24,1.221
2015-08-25,1.179
2015-08-26,1.185
2015-08-27,1.212
2015-08-28,1.247
2015-08-31,1.249
2015-09-01,1.26
2015-09-02,1.263
2015-09-07,1.23
2015-09-08,1.251
2015-09-09,1.265
2015-09-10,1.256
2015-09-11,1.268
2015-09-14,1.241
2015-09-15,1.208
2015-09-16,1.247
2015-09-17,1.228
2015-09-18,1.229
2015-09-21,1.247
2015-09-22,1.253
2015-09-23,1.239
2015-09-24,1.241
2015-09-25,1.231
2015-09-28,1.226
2015-09-29,1.212
2015-09-30,1.217
2015-10-08,1.239
2015-10-09,1.244
2015-10-12,1.261
2015-10-13,1.261
2015-10-14,1.248
2015-10-15,1.266
2015-10-16,1.289
2015-10-19,1.283
2015-10-20,1.288
2015-10-21,1.261
2015-10-22,1.275
2015-10-23,1.296
2015-10-26,1.295
2015-10-27,1.288
2015-10-28,1.274
2015-10-29,1.276
2015-10-30,1.281
2015-11-02,1.274
2015-11-03,1.274
2015-11-04,1.305
2015-11-05,1.314
2015-11-06,1.324
2015-11-09,1.338
2015-11-10,1.326
2015-11-11,1.331
2015-11-12,1.334
2015-11-13,1.32
2015-11-16,1.327
2015-11-17,1.33
2015-11-18,1.351
2015-11-19,1.355
2015-11-20,1.365
2015-11-23,1.358
2015-11-24,1.355
2015-11-25,1.355
2015-11-26,1.35
2015-11-27,1.306
2015-11-30,1.322
2015-12-01,1.361
2015-12-02,1.388
2015-12-03,1.403
2015-12-04,1.394
2015-12-07,1.386
2015-12-08,1.374
2015-12-09,1.398
2015-12-10,1.388
2015-12-11,1.389
2015-12-14,1.401
2015-12-15,1.421
2015-12-16,1.409
2015-12-17,1.453
2015-12-18,1.454
2015-12-21,1.475
2015-12-22,1.487
2015-12-23,1.498
2015-12-24,1.476
2015-12-25,1.476
