净值日期,单位净值,日增长率
2014-05-09,1.0,0.0
2014-05-16,1.0,0.0
2014-05-23,1.0,0.0
2014-05-30,1.001,0.0
2014-06-06,1.0,0.0
2014-06-13,1.002,0.0
2014-06-20,1.0,0.0
2014-06-27,1.003,0.0
2014-06-30,1.004,0.0997
2014-07-04,1.004,0.0
2014-07-11,1.004,0.0
2014-07-18,1.002,0.0
2014-07-25,1.004,0.0
2014-08-01,1.004,0.0
2014-08-07,1.003,0.0
2014-08-08,1.003,0.0
2014-08-11,1.005,0.1994
2014-08-12,1.009,0.398
2014-08-13,1.011,0.1982
2014-08-14,1.007,-0.3956
2014-08-15,1.008,0.0993
2014-08-18,1.013,0.496
2014-08-19,1.013,0.0
2014-08-20,1.011,-0.1974
2014-08-21,1.01,-0.0989
2014-08-22,1.013,0.297
2014-08-25,1.013,0.0
2014-08-26,1.01,-0.2962
2014-08-27,1.015,0.495
2014-08-28,1.011,-0.3941
2014-08-29,1.018,0.6924
2014-09-01,1.024,0.5894
2014-09-02,1.03,0.5859
2014-09-03,1.036,0.5825
2014-09-04,1.037,0.0965
2014-09-05,1.039,0.1929
2014-09-09,1.039,0.0
2014-09-10,1.035,-0.385
2014-09-11,1.032,-0.2899
2014-09-12,1.037,0.4845
2014-09-15,1.042,0.4822
2014-09-16,1.025,-1.6315
2014-09-17,1.03,0.4878
2014-09-18,1.031,0.0971
2014-09-19,1.036,0.485
2014-09-22,1.034,-0.1931
2014-09-23,1.037,0.2901
2014-09-24,1.041,0.3857
2014-09-25,1.041,0.0
2014-09-26,1.039,-0.1921
2014-09-29,1.043,0.385
2014-09-30,1.048,0.4794
2014-10-08,1.045,-0.2863
2014-10-09,1.046,0.0957
2014-10-10,1.043,-0.2868
2014-10-13,1.037,-0.5753
2014-10-14,1.037,0.0
2014-10-15,1.034,-0.2893
2014-10-16,1.027,-0.677
2014-10-17,1.022,-0.4869
2014-10-20,1.036,1.3699
2014-10-21,1.035,-0.0965
2014-10-22,1.029,-0.5797
2014-10-23,1.014,-1.4577
2014-10-24,1.016,0.1972
2014-10-27,1.03,1.378
2014-10-28,1.046,1.5534
2014-10-29,1.055,0.8604
2014-10-30,1.048,-0.6635
2014-10-31,1.05,0.1908
2014-11-03,1.05,0.0
2014-11-04,1.042,-0.7619
2014-11-05,1.038,-0.3839
2014-11-06,1.043,0.4817
2014-11-07,1.037,-0.5753
2014-11-10,1.04,0.2893
2014-11-11,1.016,-2.3077
2014-11-12,1.024,0.7874
2014-11-13,1.006,-1.7578
2014-11-14,1.005,-0.0994
2014-11-17,1.014,0.8955
2014-11-18,1.008,-0.5917
2014-11-19,1.012,0.3968
2014-11-20,1.007,-0.4941
2014-11-21,1.015,0.7944
2014-11-24,1.032,1.6749
2014-11-25,1.045,1.2597
2014-11-26,1.052,0.6699
2014-11-27,1.056,0.3802
2014-11-28,1.058,0.1894
2014-12-01,1.045,-1.2287
2014-12-02,1.059,1.3397
2014-12-03,1.065,0.5666
2014-12-04,1.087,2.0657
2014-12-05,1.062,-2.2999
2014-12-08,1.059,-0.2825
2014-12-09,1.008,-4.8159
2014-12-10,1.042,3.373
2014-12-11,1.05,0.7678
2014-12-12,1.066,1.5238
2014-12-15,1.088,2.0638
2014-12-16,1.1,1.1029
2014-12-17,1.1,0.0
2014-12-18,1.102,0.1818
2014-12-19,1.086,-1.4519
2014-12-22,1.055,-2.8545
2014-12-23,1.041,-1.327
2014-12-24,1.032,-0.8646
2014-12-25,1.056,2.3256
2014-12-26,1.076,1.8939
2014-12-29,1.073,-0.2788
2014-12-30,1.06,-1.2116
2014-12-31,1.086,2.4528
2015-01-05,1.11,2.2099
2015-01-06,1.123,1.1712
2015-01-07,1.111,-1.0686
2015-01-08,1.098,-1.1701
2015-01-09,1.099,0.0911
2015-01-12,1.109,0.9099
2015-01-13,1.133,2.1641
2015-01-14,1.118,-1.3239
2015-01-15,1.138,1.7889
2015-01-16,1.16,1.9332
2015-01-19,1.116,-3.7931
2015-01-20,1.163,4.2115
2015-01-21,1.193,2.5795
2015-01-22,1.2,0.5868
2015-01-23,1.193,-0.5833
2015-01-26,1.218,2.0956
2015-01-27,1.224,0.4926
2015-01-28,1.217,-0.5719
2015-01-29,1.214,-0.2465
2015-01-30,1.201,-1.0708
2015-02-02,1.199,-0.1665
2015-02-03,1.235,3.0025
2015-02-04,1.216,-1.5385
2015-02-05,1.224,0.6579
2015-02-06,1.195,-2.3693
2015-02-09,1.196,0.0837
2015-02-10,1.22,2.0067
2015-02-11,1.239,1.5574
2015-02-12,1.237,-0.1614
2015-02-13,1.258,1.6977
2015-02-16,1.284,2.0668
2015-02-17,1.298,1.0903
2015-02-25,1.287,-0.8475
2015-02-26,1.291,0.3108
2015-02-27,1.301,0.7746
2015-03-02,1.33,2.2291
2015-03-03,1.322,-0.6015
2015-03-04,1.341,1.4372
2015-03-05,1.348,0.522
2015-03-06,1.321,-2.003
2015-03-09,1.335,1.0598
2015-03-10,1.351,1.1985
2015-03-11,1.349,-0.148
2015-03-12,1.345,-0.2965
2015-03-13,1.354,0.6691
2015-03-16,1.411,4.2097
2015-03-17,1.429,1.2757
2015-03-18,1.459,2.0994
2015-03-19,1.463,0.2742
2015-03-20,1.485,1.5038
2015-03-23,1.53,3.0303
